metric,coarsest_size,border_fraction,red_reference,green_dx,green_dy,red_dx,red_dy
ncc,200,0.1,blue,24,49,-481,378
ncc,200,0.1,green,24,49,41,106
ncc,200,0.15,blue,24,49,-482,400
ncc,200,0.15,green,24,49,41,106
ncc,200,0.25,blue,24,48,-474,-281
ncc,200,0.25,green,24,48,41,105
ncc,400,0.1,blue,24,49,-205,141
ncc,400,0.1,green,24,49,41,106
ncc,400,0.15,blue,24,49,44,63
ncc,400,0.15,green,24,49,41,106
ncc,400,0.25,blue,24,48,32,-25
ncc,400,0.25,green,24,48,41,105
ncc,800,0.1,blue,24,49,56,104
ncc,800,0.1,green,24,49,41,106
ncc,800,0.15,blue,24,49,44,63
ncc,800,0.15,green,24,49,41,106
ncc,800,0.25,blue,24,48,32,-25
ncc,800,0.25,green,24,48,41,105
l2,200,0.1,blue,24,49,57,103
l2,200,0.1,green,24,49,41,106
l2,200,0.15,blue,24,49,44,66
l2,200,0.15,green,24,49,41,106
l2,200,0.25,blue,24,48,36,542
l2,200,0.25,green,24,48,41,105
l2,400,0.1,blue,24,49,57,103
l2,400,0.1,green,24,49,41,106
l2,400,0.15,blue,24,49,44,66
l2,400,0.15,green,24,49,41,106
l2,400,0.25,blue,24,48,-210,238
l2,400,0.25,green,24,48,41,105
l2,800,0.1,blue,24,49,57,103
l2,800,0.1,green,24,49,41,106
l2,800,0.15,blue,24,49,44,66
l2,800,0.15,green,24,49,41,106
l2,800,0.25,blue,24,48,39,71
l2,800,0.25,green,24,48,41,105
