image,method,green_dx,green_dy,red_dx,red_dy,alignment_seconds
locomotive,pyramid,31,38,-165,294,0.826
mosque,pyramid,5,32,8,79,0.7976
river,pyramid,-5,25,-11,102,0.8345
cathedral,single-ncc,2,5,3,12,0.1828
cathedral,single-l2,2,5,3,12,0.1703
cathedral,pyramid,2,5,3,12,0.0578
church,pyramid,4,25,-4,58,0.7743
emir,pyramid,24,49,-482,400,0.8152
harvesters,pyramid,17,60,14,124,0.7849
icon,pyramid,17,41,23,89,0.8373
ilemselga,pyramid,7,40,11,130,0.8148
melons,pyramid,10,81,14,178,0.8084
monastery,single-ncc,2,-3,2,3,0.1739
monastery,single-l2,2,-3,2,3,0.1638
monastery,pyramid,2,-3,2,3,0.0585
religous_painting,pyramid,3,28,7,68,0.7956
self_portrait,pyramid,29,79,37,176,0.8184
siren,pyramid,-6,49,-25,96,0.8442
three_generations,pyramid,14,52,11,111,0.7743
tobolsk,single-ncc,3,3,3,6,0.17
tobolsk,single-l2,3,3,3,6,0.1618
tobolsk,pyramid,3,3,3,6,0.0588
wharf,pyramid,-7,15,-16,82,0.8186
emir,pyramid-l2,24,49,44,66,0.7788
emir,pyramid-via-green,24,49,41,106,0.786
emir,pyramid-l2-via-green,24,49,41,106,0.7618
